ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2017,1004.6976,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2017,677.1344,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2017,94.0752,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2017,583.0591,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2017,514.5988,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2017,92.9603,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2017,421.6384,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2018,1228.9574,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2018,185.3131,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2018,1043.6443,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2018,689.4358,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2018,94.2603,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2018,595.1755,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2018,539.5216,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2018,91.0528,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2018,448.4688,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2019,1264.6697,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2019,182.6076,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2019,1082.0621,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2019,702.1935,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2019,91.9224,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2019,610.271,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2019,562.4762,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2019,90.6852,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2019,471.791,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_TOTAL,2017,7240.9538,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_PUB,2017,768.2878,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_PRI,2017,6472.6661,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_TOTAL,2017,5892.7467,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_PUB,2017,616.62,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_PRI,2017,5276.1267,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_TOTAL,2017,1348.2071,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_PUB,2017,151.6677,,,R1:3513
